SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,39,001,Ohio,Adams County,1,0,27480,13704,13776,13312,13365,76,54,87,77,17,82,3,3,209,195,13518,13553,153,134,190,176,48,100,4,11,13585,13673,13213,13280,72,51,78,70,16,80,3,3,203,189,13413,13463,147,126,179,168,45,98,4,10,119,103,99,85,4,3,9,7,1,2,0,0,6,6,105,90,6,8,11,8,3,2,0,1
050,39,001,Ohio,Adams County,1,1,1717,876,841,844,813,5,8,1,1,0,1,0,0,26,18,869,831,22,21,5,3,6,4,0,0,863,835,832,807,5,8,1,1,0,1,0,0,25,18,856,825,22,21,5,3,5,4,0,0,13,6,12,6,0,0,0,0,0,0,0,0,1,0,13,6,0,0,0,0,1,0,0,0
050,39,001,Ohio,Adams County,1,2,1736,913,823,881,789,5,3,4,5,1,4,1,1,21,21,902,810,18,18,8,6,4,9,2,1,896,805,870,774,2,3,4,4,1,3,1,1,18,20,888,794,14,17,6,5,4,8,2,1,17,18,11,15,3,0,0,1,0,1,0,0,3,1,14,16,4,1,2,1,0,1,0,0
050,39,001,Ohio,Adams County,1,3,2021,1046,975,1014,947,2,3,4,5,2,2,1,0,23,18,1037,964,15,17,10,7,6,3,1,2,1041,965,1010,939,2,3,4,5,2,2,1,0,22,16,1032,954,14,15,10,7,6,3,1,2,5,10,4,8,0,0,0,0,0,0,0,0,1,2,5,10,1,2,0,0,0,0,0,0
050,39,001,Ohio,Adams County,1,4,1798,937,861,911,846,11,4,2,3,0,3,0,0,13,5,924,851,18,7,5,4,3,4,0,0,928,852,904,838,11,4,1,3,0,2,0,0,12,5,916,843,18,7,4,4,2,3,0,0,9,9,7,8,0,0,1,0,0,1,0,0,1,0,8,8,0,0,1,0,1,1,0,0
050,39,001,Ohio,Adams County,1,5,1393,690,703,670,683,3,6,6,5,0,1,0,0,11,8,681,688,8,10,11,8,1,3,0,3,684,698,664,680,3,5,6,5,0,1,0,0,11,7,675,685,8,8,11,8,1,3,0,2,6,5,6,3,0,1,0,0,0,0,0,0,0,1,6,3,0,2,0,0,0,0,0,1
050,39,001,Ohio,Adams County,1,6,1548,758,790,732,760,7,4,4,5,0,4,0,0,15,17,746,775,10,10,14,16,3,5,0,1,750,782,725,755,7,4,3,3,0,4,0,0,15,16,739,769,10,9,13,14,3,5,0,1,8,8,7,5,0,0,1,2,0,0,0,0,0,1,7,6,0,1,1,2,0,0,0,0
050,39,001,Ohio,Adams County,1,7,1495,716,779,692,763,6,1,8,5,2,0,0,0,8,10,700,772,9,4,13,12,2,1,0,0,710,771,688,755,6,1,6,5,2,0,0,0,8,10,696,764,9,4,11,12,2,1,0,0,6,8,4,8,0,0,2,0,0,0,0,0,0,0,4,8,0,0,2,0,0,0,0,0
050,39,001,Ohio,Adams County,1,8,1425,679,746,658,732,4,6,6,0,2,2,0,0,9,6,667,738,6,8,13,4,2,2,0,0,672,741,651,728,4,5,6,0,2,2,0,0,9,6,660,734,6,7,13,4,2,2,0,0,7,5,7,4,0,1,0,0,0,0,0,0,0,0,7,4,0,1,0,0,0,0,0,0
050,39,001,Ohio,Adams County,1,9,1664,829,835,813,794,4,2,7,2,3,26,0,0,2,11,815,805,5,5,8,8,3,28,0,0,818,832,805,791,4,2,5,2,2,26,0,0,2,11,807,802,5,5,6,8,2,28,0,0,11,3,8,3,0,0,2,0,1,0,0,0,0,0,8,3,0,0,2,0,1,0,0,0
050,39,001,Ohio,Adams County,1,10,1827,916,911,902,866,3,3,3,7,0,27,0,0,8,8,910,874,4,6,9,13,1,27,0,0,909,903,895,861,3,3,3,5,0,27,0,0,8,7,903,868,4,6,9,10,1,27,0,0,7,8,7,5,0,0,0,2,0,0,0,0,0,1,7,6,0,0,0,3,0,0,0,0
050,39,001,Ohio,Adams County,1,11,1832,933,899,910,875,7,1,7,8,0,3,0,0,9,12,919,887,10,4,12,17,1,3,0,0,928,895,906,871,7,1,6,8,0,3,0,0,9,12,915,883,10,4,11,17,1,3,0,0,5,4,4,4,0,0,1,0,0,0,0,0,0,0,4,4,0,0,1,0,0,0,0,0
050,39,001,Ohio,Adams County,1,12,1992,987,1005,958,977,8,3,12,8,2,4,1,0,6,13,964,990,10,6,16,18,2,4,1,0,981,999,954,972,8,3,10,7,2,4,1,0,6,13,960,985,10,6,14,17,2,4,1,0,6,6,4,5,0,0,2,1,0,0,0,0,0,0,4,5,0,0,2,1,0,0,0,0
050,39,001,Ohio,Adams County,1,13,2020,1015,1005,986,985,7,2,8,6,2,2,0,1,12,9,997,994,9,4,17,13,4,2,0,1,1010,1002,982,983,6,2,8,5,2,2,0,1,12,9,993,992,8,4,17,12,4,2,0,1,5,3,4,2,1,0,0,1,0,0,0,0,0,0,4,2,1,0,0,1,0,0,0,0
050,39,001,Ohio,Adams County,1,14,1732,882,850,864,821,3,3,1,5,1,2,0,1,13,18,877,839,5,4,12,20,1,3,0,2,878,848,860,819,3,3,1,5,1,2,0,1,13,18,873,837,5,4,12,20,1,3,0,2,4,2,4,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
050,39,001,Ohio,Adams County,1,15,1322,681,641,668,622,1,3,4,5,0,0,0,0,8,11,676,633,3,5,9,13,1,1,0,0,676,639,663,620,1,3,4,5,0,0,0,0,8,11,671,631,3,5,9,13,1,1,0,0,5,2,5,2,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
050,39,001,Ohio,Adams County,1,16,915,426,489,408,483,0,0,6,1,2,0,0,0,10,5,418,488,1,2,13,3,4,0,0,1,426,486,408,480,0,0,6,1,2,0,0,0,10,5,418,485,1,2,13,3,4,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
050,39,001,Ohio,Adams County,1,17,590,253,337,240,331,0,0,4,3,0,1,0,0,9,2,249,333,0,1,10,5,3,1,0,0,251,337,238,331,0,0,4,3,0,1,0,0,9,2,247,333,0,1,10,5,3,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
050,39,001,Ohio,Adams County,1,18,453,167,286,161,278,0,2,0,3,0,0,0,0,6,3,167,281,0,2,5,6,1,0,0,0,164,283,158,276,0,1,0,3,0,0,0,0,6,3,164,279,0,1,5,6,1,0,0,0,3,3,3,2,0,1,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0
050,39,001,Ohio,Adams County,2,0,27451,13705,13746,13307,13338,81,55,91,77,17,80,3,3,206,193,13504,13522,170,143,192,173,45,100,3,5,13584,13640,13207,13250,77,52,81,70,16,78,3,3,200,187,13398,13428,161,137,181,163,43,97,3,5,121,106,100,88,4,3,10,7,1,2,0,0,6,6,106,94,9,6,11,10,2,3,0,0
050,39,001,Ohio,Adams County,2,1,1709,875,834,844,806,5,8,1,1,0,1,0,0,25,18,868,824,24,25,5,1,3,2,0,0,862,828,832,800,5,8,1,1,0,1,0,0,24,18,855,818,23,25,5,1,3,2,0,0,13,6,12,6,0,0,0,0,0,0,0,0,1,0,13,6,1,0,0,0,0,0,0,0
050,39,001,Ohio,Adams County,2,2,1732,907,825,876,791,5,4,4,5,1,4,1,1,20,20,894,810,21,20,6,7,5,6,1,2,890,806,865,775,2,4,4,4,1,3,1,1,17,19,880,793,16,19,6,6,4,5,1,2,17,19,11,16,3,0,0,1,0,1,0,0,3,1,14,17,5,1,0,1,1,1,0,0
