region_id,region,county_name,NCESSCH,SCH_NAME,LEA_NAME,school_irn,Building Name,students_served,high_need,match_method,match_score
,,Mahoning,390001701509,Youngstown Community School,Youngstown Community School,134072,,0.0,False,unmatched,
,,Cuyahoga,390001901514,Constellation Schools: Old Brooklyn Community Elementary,Constellation Schools: Old Brooklyn Community Elementary,134098,Constellation Schools: Old Brooklyn Community Elementary,175.0,True,exact_irn,
,,Lucas,390002201520,Autism Model School,Autism Model School,134122,Autism Model School,96.0,True,exact_irn,
,,Cuyahoga,390002501543,Green Inspiration Academy,Green Inspiration Academy,134197,,0.0,False,unmatched,
,,Summit,390002701572,Middlebury Academy,Middlebury Academy,134213,,0.0,False,unmatched,
,,Montgomery,390002901578,City Day Community School,City Day Community School,134247,,0.0,False,unmatched,
,,Hamilton,390003102807,Cincinnati College Preparatory Academy,Cincinnati College Preparatory Academy,133512,,0.0,False,unmatched,
,,Summit,390003302834,Edge Learning,Edge Learning,133538,,0.0,False,unmatched,
1.0,Group 1 - Columbus Core,Franklin,390003602838,Ohio Achievement Charter Schools Inc. dba Millennium Commun,Ohio Achievement Charter Schools Inc. dba Millennium Commun,133561,,0.0,False,unmatched,
,,Summit,390003802844,Summit Academy Akron Elementary School,Summit Academy Akron Elementary School,133587,,0.0,False,unmatched,
,,Cuyahoga,390004002939,Horizon Science Acad Cleveland,Horizon Science Acad Cleveland,133629,,0.0,False,unmatched,
1.0,Group 1 - Columbus Core,Franklin,390004202978,Horizon Science Academy Columbus,Horizon Science Academy Columbus,133660,,0.0,False,unmatched,
,,Hamilton,390004302979,Riverside Community School Inc. dba Riverside Academy,Riverside Community School Inc. dba Riverside Academy,133678,,0.0,False,unmatched,
,,Butler,390004702997,Richard Allen Academy,Richard Allen Academy,133736,,0.0,False,unmatched,
,,Cuyahoga,390005203027,Invictus High School,Invictus High School,133835,Invictus High School,0.0,False,exact_irn,
,,Summit,390005303054,Towpath Trail High School,Towpath Trail High School,133868,Towpath Trail High School,734.0,True,exact_irn,
,,Lucas,390005603084,Toledo School For The Arts,Toledo School For The Arts,133942,,0.0,False,unmatched,
,,Cuyahoga,390006503248,Intergenerational School The,Intergenerational School The,133215,,0.0,False,unmatched,
,,Cuyahoga,390006803315,Constellation Schools: Parma Community,Constellation Schools: Parma Community,133256,,0.0,False,unmatched,
,,Stark,390007103346,Summit Academy Community School for Alternative Learn-Canton,Summit Academy Community School for Alternative Learn-Canton,133306,,0.0,False,unmatched,
,,Hamilton,390007203360,T.C.P. World Academy,T.C.P. World Academy,133330,,0.0,False,unmatched,
,,Montgomery,390007303361,Richard Allen Preparatory,Richard Allen Preparatory,133348,Richard Allen Preparatory,415.0,True,exact_irn,
1.0,Group 1 - Columbus Core,Franklin,390008003428,Graham School The,Graham School The,133421,,0.0,False,unmatched,
1.0,Group 1 - Columbus Core,Franklin,390008103441,Cornerstone Academy Community School,Cornerstone Academy Community School,133439,,0.0,False,unmatched,
,,Montgomery,390008303762,Alliance Community Schools Inc. dba Dayton Leadership Acade,Alliance Community Schools Inc. dba Dayton Leadership Acade,133454,,0.0,False,unmatched,
,,Trumbull,390008403786,River Gate High School,River Gate High School,133488,River Gate High School,0.0,False,exact_irn,
,,Butler,390009403602,Monroe High School,Monroe Local,139311,,0.0,False,unmatched,
,,Butler,390009403635,Monroe Elementary School,Monroe Local,139337,,0.0,False,unmatched,
,,Butler,390009405409,Monroe Primary School,Monroe Local,025221,,0.0,False,unmatched,
,,Butler,390009405926,Monroe Junior High School,Monroe Local,016889,,0.0,False,unmatched,
,,Butler,390009603913,Summit Acdy Comm Schl for Alternative Learners of Middletown,Summit Acdy Comm Schl for Alternative Learners of Middletown,132746,,0.0,False,unmatched,
,,Greene,390009704036,Summit Academy Community School Alternative Learners -Xenia,Summit Academy Community School Alternative Learners -Xenia,132761,,0.0,False,unmatched,
,,Summit,390009804167,Summit Academy Akron Middle School,Summit Academy Akron Middle School,132779,,0.0,False,unmatched,
,,Clark,390010003820,Cliff Park High School,Cliff Park High School,132795,Cliff Park High School,364.0,True,exact_irn,
,,Butler,390010103860,Marshall High School,Marshall High School,132803,Marshall High School,640.0,True,exact_irn,
,,Lorain,390010204160,Constellation Schools: Lorain Community Elementary,Constellation Schools: Lorain Community Elementary,132951,,0.0,False,unmatched,
,,Lorain,390010304054,Constellation Schools: Elyria Community,Constellation Schools: Elyria Community,132969,,0.0,False,unmatched,
1.0,Group 1 - Columbus Core,Franklin,390010404157,YB Columbus Community School,YB Columbus Community School,132985,YB Columbus Community School,270.0,True,exact_irn,
,,Cuyahoga,390010504154,Constellation Schools: Westpark Community Elementary,Constellation Schools: Westpark Community Elementary,132993,,0.0,False,unmatched,
,,Cuyahoga,390010704153,Washington Park Community School,Washington Park Community School,133280,,0.0,False,unmatched,
,,Lorain,390010904106,Summit Academy Community School Alternative Learners-Lorain,Summit Academy Community School Alternative Learners-Lorain,133322,Summit Academy Community School Alternative Learners-Lorain,0.0,False,exact_irn,
,,Hamilton,390011303911,ReGeneration Schools Avondale Elementary,ReGeneration Schools Avondale Elementary,133504,,0.0,False,unmatched,
,,Lucas,390011704155,The Autism Academy Of Learning,The Autism Academy Of Learning,143297,,0.0,False,unmatched,
,,Marion,390011804148,TRECA Digital Academy,TRECA Digital Academy,143305,TRECA Digital Academy,2375.0,True,exact_irn,
,,Cuyahoga,390011903854,Innovation Academy West,Innovation Academy West,143313,,0.0,False,unmatched,
,,Hamilton,390012103912,Hamilton Cnty Math & Science,Hamilton Cnty Math & Science,143602,,0.0,False,unmatched,
,,Scioto,390012303957,Sciotoville Community School,Sciotoville Community School,143644,,0.0,False,unmatched,
,,Lucas,390012704177,Glass City Academy,Glass City Academy,000131,Glass City Academy,0.0,False,exact_irn,
,,Montgomery,390012904179,Pathway School of Discovery,Pathway School of Discovery,000138,,0.0,False,unmatched,
,,Hamilton,390013004180,Alliance Academy of Cincinnati,Alliance Academy of Cincinnati,000139,,0.0,False,unmatched,
,,Lucas,390013805188,Wildwood Environmental Academy,Wildwood Environmental Academy,000222,Wildwood Environmental Academy,0.0,False,exact_irn,
,,Morrow,390014504757,Tomorrow Center,Tomorrow Center,148981,Tomorrow Center,0.0,False,exact_irn,
