region_id,region,anchor_county,county_name,SCH_NAME,LEA_NAME,school_level,school_type,zip5
1.0,Group 1 - Columbus Core,Franklin,Delaware,Albert Chapman Elementary School,Dublin City,Elementary,Regular School,43065
1.0,Group 1 - Columbus Core,Franklin,Delaware,Alcott Elementary School,Westerville City,Elementary,Regular School,43082
1.0,Group 1 - Columbus Core,Franklin,Delaware,Alum Creek Elementary School,Olentangy Local,Elementary,Regular School,43035
1.0,Group 1 - Columbus Core,Franklin,Delaware,Arrowhead Elementary School,Olentangy Local,Elementary,Regular School,43035
1.0,Group 1 - Columbus Core,Franklin,Delaware,Berkshire Middle School,Olentangy Local,Middle,Regular School,43021
1.0,Group 1 - Columbus Core,Franklin,Delaware,Big Walnut Early Learning Center at Harrison Street,Big Walnut Local,Prekindergarten,Regular School,43074
1.0,Group 1 - Columbus Core,Franklin,Delaware,Big Walnut Elementary School,Big Walnut Local,Elementary,Regular School,43074
1.0,Group 1 - Columbus Core,Franklin,Delaware,Big Walnut High School,Big Walnut Local,High,Regular School,43074
1.0,Group 1 - Columbus Core,Franklin,Delaware,Big Walnut Intermediate School,Big Walnut Local,Elementary,Regular School,43074
1.0,Group 1 - Columbus Core,Franklin,Delaware,Big Walnut Middle School,Big Walnut Local,Middle,Regular School,43074
1.0,Group 1 - Columbus Core,Franklin,Delaware,Buckeye Valley East Elementary School,Buckeye Valley Local,Elementary,Regular School,43003
1.0,Group 1 - Columbus Core,Franklin,Delaware,Buckeye Valley Local High School,Buckeye Valley Local,High,Regular School,43015
1.0,Group 1 - Columbus Core,Franklin,Delaware,Buckeye Valley Local Middle School,Buckeye Valley Local,Middle,Regular School,43015
1.0,Group 1 - Columbus Core,Franklin,Delaware,Buckeye Valley West Elementary School,Buckeye Valley Local,Elementary,Regular School,43061
1.0,Group 1 - Columbus Core,Franklin,Delaware,Cheshire Elementary,Olentangy Local,Elementary,Regular School,43015
1.0,Group 1 - Columbus Core,Franklin,Delaware,David Smith Elementary School,Delaware City,Elementary,Regular School,43015
1.0,Group 1 - Columbus Core,Franklin,Delaware,Delaware Area Career Center South Campus,Delaware Area Career Center,High,Career and Technical School,43015
1.0,Group 1 - Columbus Core,Franklin,Delaware,Ervin Carlisle Elementary School,Delaware City,Elementary,Regular School,43015
1.0,Group 1 - Columbus Core,Franklin,Delaware,Fouse Elementary School,Westerville City,Elementary,Regular School,43082
1.0,Group 1 - Columbus Core,Franklin,Delaware,Freedom Trail Elementary,Olentangy Local,Elementary,Regular School,43035
1.0,Group 1 - Columbus Core,Franklin,Delaware,General Rosecrans Elementary,Big Walnut Local,Elementary,Regular School,43074
1.0,Group 1 - Columbus Core,Franklin,Delaware,Genoa Middle School,Westerville City,Middle,Regular School,43082
1.0,Group 1 - Columbus Core,Franklin,Delaware,Glen Oak Elementary School,Olentangy Local,Elementary,Regular School,43035
1.0,Group 1 - Columbus Core,Franklin,Delaware,Heritage Elementary School,Olentangy Local,Elementary,Regular School,43035
1.0,Group 1 - Columbus Core,Franklin,Delaware,Heritage Middle School,Westerville City,Middle,Regular School,43082
1.0,Group 1 - Columbus Core,Franklin,Delaware,Hyatts Middle School,Olentangy Local,Middle,Regular School,43065
1.0,Group 1 - Columbus Core,Franklin,Delaware,Hylen Souders Elementary School,Big Walnut Local,Elementary,Regular School,43021
1.0,Group 1 - Columbus Core,Franklin,Delaware,Indian Springs Elementary,Olentangy Local,Elementary,Regular School,43065
1.0,Group 1 - Columbus Core,Franklin,Delaware,James Conger Elementary School,Delaware City,Elementary,Regular School,43015
1.0,Group 1 - Columbus Core,Franklin,Delaware,John C Dempsey Middle School,Delaware City,Middle,Regular School,43015
1.0,Group 1 - Columbus Core,Franklin,Delaware,Johnnycake Corners Elementary School,Olentangy Local,Elementary,Regular School,43021
1.0,Group 1 - Columbus Core,Franklin,Delaware,Laura Woodward Elementary School,Delaware City,Elementary,Regular School,43015
1.0,Group 1 - Columbus Core,Franklin,Delaware,Liberty Elementary School,Worthington City,Elementary,Regular School,43065
1.0,Group 1 - Columbus Core,Franklin,Delaware,Liberty Tree Elementary School,Olentangy Local,Elementary,Regular School,43065
1.0,Group 1 - Columbus Core,Franklin,Delaware,Oak Creek Elementary School,Olentangy Local,Elementary,Regular School,43035
1.0,Group 1 - Columbus Core,Franklin,Delaware,Olentangy Berlin High School,Olentangy Local,High,Regular School,43015
1.0,Group 1 - Columbus Core,Franklin,Delaware,Olentangy Berlin Middle School,Olentangy Local,Middle,Regular School,43015
1.0,Group 1 - Columbus Core,Franklin,Delaware,Olentangy High School,Olentangy Local,High,Regular School,43035
1.0,Group 1 - Columbus Core,Franklin,Delaware,Olentangy Liberty High School,Olentangy Local,High,Regular School,43065
1.0,Group 1 - Columbus Core,Franklin,Delaware,Olentangy Liberty Middle School,Olentangy Local,Middle,Regular School,43065
1.0,Group 1 - Columbus Core,Franklin,Delaware,Olentangy Meadows Elementary School,Olentangy Local,Elementary,Regular School,43035
