Call ID,Date,Caller Name,Contact Name,Title,Organization,City,County,Phone,Email,Categorical Grouping,Has Open Space?,Space (sq ft),Max Capacity,Past Partnerships?,Impact Assessment Rating,Outcome,Stage,Call Back?,Notes / Next Steps,organization_name,org_name_clean,county_name,outcome_clean,positive_response,region_tracker,region_id_tracker,school_name_clean,NCESSCH,SCH_NAME,region_school,region_id_school,high_need,match_method,match_score,final_region
,2026-03-02,Grant,,,Nelsonville-York High School,Nelsonville,Athens County,(740) 753-1737,,5.0,,,,,,Not Interested,Cold,,,Nelsonville-York High School,nelsonville york,Athens,not interested,False,Group 3 - Southeast Cluster,3.0,nelsonville york,390444401368,Nelsonville-York High School,Group 3 - Southeast Cluster,3.0,False,normalized_name_county,,Group 3 - Southeast Cluster
,2026-03-02,Grant,,,Chillicothe High School,Chillicothe ,Ross County,(740) 775-4250,,4.0,,,,,,Not Interested,Cold,,,Chillicothe High School,chillicothe,Ross,not interested,False,Group 4 - Southern Corridor,4.0,chillicothe,390437400281,Chillicothe High School,Group 4 - Southern Corridor,4.0,False,normalized_name_county,,Group 4 - Southern Corridor
,2026-03-03,Luke,,,Valley High School,Lucasville,Scioto County,(740) 259-3115,,,,,,,,Call Back,Cold,No,Left a voicemail with the principal. Worth calling back,Valley High School,valley,Scioto,call back,False,,,,,,,,,unmatched,,
,2026-03-03,Luke,,,Northwest High School,McDermott,Scioto County,(740) 259-2366,,,,,,,,Call Back,Cold,No,Left a voicemail with the principal. Worth calling back,Northwest High School,northwest,Scioto,call back,False,,,,,,,,,unmatched,,
,2026-03-03,Grant,Scott McCallum,,Mt. Logan Early Childhood Center,Chillicothe,Ross County,(740)773-2638,"mccallum@horizonview.net, hers is kmccallum@adena.org",4.0,Yes,,389.0,,,Interested,Assessing Fit,Emailed,"CONTACT: LATER Transfered to district office, They have a club, connect 4 club, students that dont have means but want to go to college",Mt. Logan Early Childhood Center,mt logan early childhood center,Ross,interested,True,Group 4 - Southern Corridor,4.0,mt logan early childhood center,390437405981,Mt. Logan Early Childhood Center,Group 4 - Southern Corridor,4.0,False,normalized_name_county,,Group 4 - Southern Corridor
,2026-03-03,Grant,,,Unioto Elementary,Chillicothe,Ross County,(740)773-4103,,4.0,No,,,,,Voicemail,,,Left a voicemail. Worth calling back,Unioto Elementary,unioto elementary,Ross,voicemail,False,Group 4 - Southern Corridor,4.0,unioto elementary,390495305302,Unioto Elementary,Group 4 - Southern Corridor,4.0,False,normalized_name_county,,Group 4 - Southern Corridor
,2026-03-03,Grant,,,Addaville Elementary School,Gallipolis,Gallia County,(740)367-7283,,4.0,,,,,,Voicemail,Cold,,"Left a voicemail, worth calling back",Addaville Elementary School,addaville,Gallia,voicemail,False,Group 4 - Southern Corridor,4.0,addaville,390656804128,Addaville Elementary School,Group 4 - Southern Corridor,4.0,False,normalized_name_county,,Group 4 - Southern Corridor
,2026-03-03,Grant,,,Buckeye Hills Career Center,Rio Grande,Gallia County,(740)245-5334,,4.0,,,,,,Voicemail,Cold,,"Left a voicemail, worth calling back",Buckeye Hills Career Center,buckeye hills career center,Gallia,voicemail,False,Group 4 - Southern Corridor,4.0,buckeye hills career center,390620604118,Buckeye Hills Career Center,Group 4 - Southern Corridor,4.0,False,normalized_name_county,,Group 4 - Southern Corridor
,2026-03-05,Grant,,,Steubenville High School,Steubenville,Jefferson County,(740)282-9741,,5.0,,,,,,Not Interested,Cold,,,Steubenville High School,steubenville,Jefferson,not interested,False,Group 5 - Eastern Edge,5.0,steubenville,390448201711,Steubenville High School,Group 5 - Eastern Edge,5.0,False,normalized_name_county,,Group 5 - Eastern Edge
,2026-03-05,Grant,,,Barnesville Middle School,Barnesville,Belmont County,(740)425-3116,,5.0,Yes,,,,,Voicemail,Cold,,,Barnesville Middle School,barnesville,Belmont,voicemail,False,Group 5 - Eastern Edge,5.0,barnesville,390452002120,Barnesville Elementary School,Group 5 - Eastern Edge,5.0,False,normalized_name_county,,Group 5 - Eastern Edge
